language,id,sentence,attachment,log_prob,vp_score,np_score,margin,verified,vp_gloss,np_gloss
English,1,I ate the sushi with chopsticks,OTHER,-43.31072240997507,,,0.0,True,I used chopsticks to eat,The sushi came with chopsticks
English,2,She photographed the actor with a telephoto lens,VP,-55.076434448694556,-55.076434448694556,,999.0,True,She used a lens to photograph,The actor had a lens
English,3,He called the manager with the complaint,VP,-46.87246843419281,-46.87246843419281,,999.0,True,He used the complaint to call,The manager had the complaint
English,4,They attacked the soldier with a knife,OTHER,-60.27984013120361,,,0.0,True,They used a knife to attack,The soldier had a knife
English,5,I saw the professor with the students,OTHER,-55.72306864912812,,,0.0,True,I saw alongside the students,The professor was with students
English,6,She read the letter with glasses,VP,-47.93545110839141,-47.93545110839141,,999.0,True,She used glasses to read,The letter came with glasses
English,7,He painted the wall with a brush,VP,-41.97362857000817,-41.97362857000817,,999.0,True,He used a brush to paint,The wall had a brush on it
English,8,They found the suspect with the evidence,VP,-46.47826069966857,-46.47826069966857,,999.0,True,They used evidence to find,The suspect had the evidence
English,9,I met the director with the script,VP,-35.385780930568764,-35.385780930568764,,999.0,True,I met using the script,The director had the script
English,10,She greeted the guest with a smile,OTHER,-57.45210424767553,,,0.0,True,She smiled while greeting,The guest had a smile
English,11,He arrested the criminal with a warrant,VP,-52.164169299895136,-52.164169299895136,,999.0,True,He used a warrant to arrest,The criminal had a warrant
English,12,They cleaned the table with a cloth,VP,-50.592673846693785,-50.592673846693785,,999.0,True,They used a cloth to clean,The table had a cloth on it
English,13,I bought the car with the sunroof,VP,-33.30633938888893,-33.30633938888893,,999.0,True,I used the sunroof deal to buy,The car had a sunroof
English,14,She wrote the report with a pen,VP,-51.62876577838056,-51.62876577838056,,999.0,True,She used a pen to write,The report had a pen attached
English,15,He carried the box with the handle,VP,-45.756691509246515,-45.756691509246515,,999.0,True,He used the handle to carry,The box had a handle
English,16,They identified the package with a scanner,VP,-38.32304791559647,-38.32304791559647,,999.0,True,They used a scanner to identify,The package had a scanner
English,17,I examined the patient with a stethoscope,VP,-39.095291053952984,-39.095291053952984,,999.0,True,I used a stethoscope to examine,The patient had a stethoscope
English,18,She served the dish with chopsticks,VP,-38.97692878138608,-38.97692878138608,,999.0,True,She used chopsticks to serve,The dish came with chopsticks
English,19,He signed the contract with a pen,VP,-49.32921558908166,-49.32921558908166,,999.0,True,He used a pen to sign,The contract came with a pen
English,20,They caught the thief with a camera,VP,-47.17378041212557,-47.17378041212557,,999.0,True,They used a camera to catch,The thief had a camera
English,21,I fixed the machine with a wrench,VP,-32.3610454012188,-32.3610454012188,,999.0,True,I used a wrench to fix,The machine had a wrench
English,22,She measured the room with a tape,VP,-51.66557190438275,-51.66557190438275,,999.0,True,She used a tape to measure,The room had tape marks
English,23,He unlocked the door with the key,VP,-31.28709512121599,-31.28709512121599,,999.0,True,He used the key to unlock,The door had a key
English,24,They decorated the tree with lights,OTHER,-43.75653401876272,,,0.0,True,They used lights to decorate,The tree had lights
English,25,I helped the student with the assignment,VP,-41.042742655248425,-41.042742655248425,,999.0,True,I helped using the assignment,The student had the assignment
English,26,She tested the software with a script,VP,-38.86666336218545,-38.86666336218545,,999.0,True,She used a script to test,The software had a script
English,27,He repaired the bike with the tool,VP,-43.451144218642774,-43.451144218642774,,999.0,True,He used the tool to repair,The bike had the tool
English,28,They trained the model with the data,VP,-41.7472497975983,-41.7472497975983,,999.0,True,They used data to train,The model had the data
English,29,I contacted the professor with the form,OTHER,-45.295867082117056,,,0.0,True,I used the form to contact,The professor had the form
English,30,She cleaned the window with a sponge,VP,-43.62062051551063,-43.62062051551063,,999.0,True,She used a sponge to clean,The window had a sponge
Japanese,1,私 は 箸 で 寿司 を 食べ た,VP,-67.90032345726041,-67.90032345726041,,999.0,True,箸で食べた,箸付きの寿司
Japanese,2,彼 は 手紙 で 先生 を 呼ん だ,OTHER,-53.328283096532964,,,0.0,False,手紙で呼んだ,手紙を持つ先生
Japanese,3,彼女 は カメラ で 学生 を 撮影 し た,OTHER,-52.78460792713335,,,0.0,False,カメラで撮影,カメラを持つ学生
